Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Unique_Venues,Unique_States,Most_Visited_Venue,Times_At_Most_Visited,Venue_Diversity_Ratio,Max_Single_Trip
Rodrick Dixon,23,3489.74,158.62,16,6,"American Bank Center (Corpus Christi, TX)",3,0.7,804.86
Mark Fulton,29,3488.06,124.57,19,8,"Bren Events Center (Irvine, CA)",3,0.66,1115.68
Bill Jacobson,11,3455.42,345.54,11,9,"Resch Center (Green Bay, WI)",1,1.0,691.43
Mike Reed,13,3333.74,277.81,9,6,"Pauley Pavilion (Los Angeles, CA)",3,0.69,1698.98
Joe Wilbert III,22,3282.07,156.29,17,10,"Legacy Center (Lake Charles, LA)",3,0.77,934.1
Wally Rutecki,41,3242.39,81.06,26,11,"Kirby Sports Center (Easton, PA)",3,0.63,812.32
Sutton Simon,16,3137.16,209.14,15,11,"Ervin J. Nutter Center (Fairborn, OH)",2,0.94,1395.01
James Hicks,20,3127.28,164.59,13,9,"Show Me Center (Cape Girardeau, MO)",3,0.65,961.13
Trent Dews,16,3086.68,205.78,9,4,"Field House (Commerce, TX)",4,0.56,376.07
Isaiah Conrad,8,3042.81,434.69,8,7,"Holmes Convocation Center (Boone, NC)",1,1.0,1680.87
Aran Hart,9,2967.87,370.98,9,7,"Pauley Pavilion (Los Angeles, CA)",1,1.0,2135.4
Sidney Cohen,21,2964.02,148.2,17,9,"Allen Arena (Nashville, TN)",2,0.81,977.39
Michael Mojica,33,2964.01,92.63,23,8,"CBU Events Center (Riverside, CA)",3,0.7,967.07
Tim Kelly,35,2913.27,85.68,22,12,"EagleBank Arena (Fairfax, VA)",5,0.63,873.63
Glen Mayberry,32,2896.9,93.45,23,9,"Albert Gersten Pavilion (Los Angeles, CA)",4,0.72,963.18
Robert Foster,9,2896.4,362.05,7,7,"Pan American Center (Las Cruces, NM)",2,0.78,1599.23
Glenn Tuitt,14,2836.07,218.16,11,6,"Dunn-Oliver Acadome (Montgomery, AL)",3,0.79,804.86
Tim Fitzgerald,26,2826.53,113.06,17,13,"Jack Stephens Center (Little Rock, AR)",4,0.65,900.5
John St. Clair,25,2799.99,116.67,19,12,"Farris Center (Conway, AR)",3,0.76,1186.88
Nomi Kidwai,23,2793.02,126.96,21,10,"Athletics-Recreation Center (Valparaiso, IN)",2,0.91,818.3
Mike O'Neil,6,2777.03,555.41,6,6,"Sanford Coyote Sports Center (Vermillion, SD)",1,1.0,860.92
Kirk Smith,14,2767.03,212.85,12,7,"Viking Pavilion (Portland, OR)",2,0.86,1261.75
Brandon Cruz,39,2761.55,72.67,29,14,"Chace Athletic Center (Smithfield, RI)",2,0.74,567.75
Antoine Dawkins,8,2750.63,392.95,6,5,"Hill Field House (Baltimore, MD)",3,0.75,886.24
Brad Clauss,8,2743.26,391.89,8,6,"Sanford Coyote Sports Center (Vermillion, SD)",1,1.0,1037.04
Ronald Groover,9,2716.7,339.59,8,6,"State Farm Center (Champaign, IL)",2,0.89,1387.75
Brian Zink,42,2716.5,66.26,28,7,"Matthews Arena (Boston, MA)",3,0.67,423.52
Ed Phillips,5,2636.78,659.19,4,2,"Memorial Athletic and Convocation Center (Kent, OH)",2,0.8,1245.86
Robert Lehigh,35,2601.28,76.51,23,10,"Alex G. Spanos Center (Stockton, CA)",4,0.66,730.42
Chris Pasci,5,2600.21,650.05,4,4,"WVU Coliseum (Morgantown, WV)",2,0.8,1818.49
Bob Franklin,14,2563.01,197.15,11,6,"Groniger Arena (Charleston, IL)",3,0.79,1241.74
Jon Pierre Tjon-Joe-Pin,15,2537.15,181.23,13,10,"Fant-Ewing Coliseum (Monroe, LA)",2,0.87,826.21
Stefan Maxwell,5,2530.82,632.71,5,5,"Mabee Center (Tulsa, OK)",1,1.0,753.29
Barry Mathis,14,2502.67,192.51,11,6,"Eblen Center (Cookeville, TN)",3,0.79,676.51
Billy Dunlap,25,2495.7,103.99,12,6,"Bon Secours Wellness Arena (Greenville, SC)",3,0.48,315.19
Josh Anderson,40,2468.55,63.3,29,11,"Chesapeake Employers Insurance Arena (Baltimore, MD)",4,0.72,733.21
David Walker,14,2459.51,189.19,10,7,"Millett Hall (Oxford, OH)",3,0.71,642.4
Tuscon Grigg,3,2438.8,1219.4,2,2,"Pete Mathews Coliseum (Jacksonville, AL)",2,0.67,1219.4
Tyler Sandmann,32,2437.24,78.62,24,11,"Broadview Center (Albany, NY)",3,0.75,598.12
Kyle Bowen,17,2405.85,150.37,16,9,"McKenzie Arena (Chattanooga, TN)",2,0.94,601.18
Michael Luckie,49,2394.2,49.88,30,11,"Christl Arena (West Point, NY)",4,0.61,433.42
Will Howard,18,2346.99,138.06,16,12,"Halton Arena (Charlotte, NC)",3,0.89,1083.81
Josh Burton,30,2341.44,80.74,21,11,"Leo D. Mahoney Arena (Fairfield, CT)",3,0.7,1044.52
Mike Evans,51,2323.33,46.47,36,13,"Roy L. Patrick Gymnasium (Burlington, VT)",4,0.71,474.48
Ben Cartmell,16,2296.58,153.11,10,6,"Dahlberg Arena (Missoula, MT)",3,0.62,708.31
Bianca Burns,4,2280.48,760.16,4,4,"Galen Center (Los Angeles, CA)",1,1.0,1902.29
Jake Keller,14,2260.57,173.89,9,7,"Robert F. Hyland Arena (Saint Charles, MO)",3,0.64,1608.17
Kyle Luckie,26,2233.31,89.33,19,5,"Atlantic Union Bank Center (Harrisonburg, VA)",2,0.73,295.09
Minkah Milton,9,2229.2,278.65,8,4,"Stroh Center (Bowling Green, OH)",2,0.89,754.87
Chance Wallesen,23,2227.55,101.25,16,10,"Robert F. Hyland Arena (Saint Charles, MO)",5,0.7,1731.39
Adam Vandenburgh,49,2221.23,46.28,26,9,"McCann Arena (Poughkeepsie, NY)",6,0.53,526.18
Matthew Lavigne,27,2208.75,84.95,19,9,"Case Gym (Boston, MA)",4,0.7,477.13
Scott Gooden,22,2204.17,104.96,14,9,"Ocean Center (Daytona Beach, FL)",3,0.64,889.27
Mike O'Neill,20,2139.09,112.58,17,11,"Calihan Hall (Detroit, MI)",2,0.85,698.74
Alexander Thompson,18,2117.68,124.57,16,8,"Marriott Center (Provo, UT)",2,0.89,1287.21
Tony Crisp,50,2112.19,43.11,31,11,"Kaplan Arena (Williamsburg, VA)",3,0.62,479.26
Frank Harvey III,32,2090.82,67.45,21,5,"SRC Arena (Riverside, CA)",4,0.66,472.18
Jeff Clark,13,2079.42,173.29,10,6,"Amica Mutual Pavilion (Providence, RI)",2,0.77,783.98
Geoff Vejsicky,15,2064.98,147.5,9,5,"Memorial Athletic and Convocation Center (Kent, OH)",5,0.6,763.77
Vasili Mallios,51,2045.23,40.9,35,11,"Case Gym (Boston, MA)",3,0.69,474.48
Luke Payne,12,2040.78,185.53,11,7,"McKenzie Arena (Chattanooga, TN)",2,0.92,494.31
John Cahill Jr.,35,2033.34,59.8,27,11,"Matthews Arena (Boston, MA)",3,0.77,396.59
Nate Melson,12,2015.73,183.25,9,5,"Dee Events Center (Ogden, UT)",2,0.75,745.88
Nick Terry,24,2013.53,87.54,19,10,"The HTC Center (Conway, SC)",3,0.79,571.05
Dan Basile,28,1964.29,72.75,17,9,"Chesapeake Employers Insurance Arena (Baltimore, MD)",3,0.61,407.0
Brent Dugas,24,1949.78,84.77,12,4,"Legacy Center (Lake Charles, LA)",7,0.5,983.91
Daniel Clark,9,1941.48,242.68,6,4,"Cameron Hall (Lexington, VA)",3,0.67,343.33
Andrew Barksdale,25,1940.07,80.84,14,5,"Kaplan Arena (Williamsburg, VA)",4,0.56,260.73
Jason Page,25,1937.85,80.74,15,6,"Joan Perry Brock Center (Farmville, VA)",4,0.6,554.27
Tim Corner,2,1915.6,1915.6,2,2,"Breslin Events Center (East Lansing, MI)",1,1.0,1915.6
Ben Syroka,5,1906.67,476.67,5,4,"Baxter Arena (Omaha, NE)",1,1.0,949.48
Michael Terry,24,1897.46,82.5,16,7,"Freedom Hall (Johnson City, TN)",4,0.67,345.28
Jack Loughran,18,1877.65,110.45,15,9,"The Palestra (Philadelphia, PA)",2,0.83,643.31
Chase Vaden,13,1865.98,155.5,11,4,"Chartway Arena (Norfolk, VA)",2,0.85,400.06
Nate Gamet,19,1863.47,103.53,13,10,"Show Me Center (Cape Girardeau, MO)",3,0.68,499.21
Paul Szeic,2,1862.6,1862.6,2,2,"Petersen Events Center (Pittsburgh, PA)",1,1.0,1862.6
Owen Luckie,20,1860.06,97.9,15,6,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.75,542.75
John Jenkins Jr,2,1851.42,1851.42,2,2,"Gill Coliseum (Corvallis, OR)",1,1.0,1851.42
Kristyne Esparza,21,1844.65,92.23,15,7,"The Thunderdome (Isla Vista, CA)",2,0.71,954.88
Mamadou Ba,21,1829.96,91.5,15,7,"Ocean Center (Daytona Beach, FL)",3,0.71,1033.77
Ian McClenny,23,1805.62,82.07,15,7,"Bender Arena (Washington, DC)",4,0.65,389.53
John Washo,5,1780.89,445.22,5,5,"George Gervin GameAbove Center (Ypsilanti, MI)",1,1.0,928.43
Eric Boyce,7,1759.77,293.29,6,5,"Alex G. Spanos Center (Stockton, CA)",2,0.86,666.7
Raymond Tate,12,1759.77,159.98,9,4,"Health & Physical Education Arena (Houston, TX)",3,0.75,527.78
Wilson Holland,24,1753.22,76.23,18,7,"LionTree Arena (La Jolla, CA)",3,0.75,942.02
Kyle Bottoms,21,1748.41,87.42,12,6,"Allen Arena (Nashville, TN)",6,0.57,381.38
Lars Murray,5,1747.99,437.0,4,4,"Memorial Athletic and Convocation Center (Kent, OH)",2,0.8,864.18
Dan Dorian,6,1747.47,349.49,6,5,"Swinney Center (Kansas City, MO)",1,1.0,644.09
Carl Luciano,25,1720.27,71.68,18,9,"Matthews Arena (Boston, MA)",3,0.72,363.71
Cedric Coleman,16,1714.36,114.29,10,7,"Jack Stephens Center (Little Rock, AR)",4,0.62,384.17
Mikerlange Fleury,53,1705.67,32.8,29,9,"Stony Brook Arena (Stony Brook, NY)",5,0.55,240.98
Jason Bradwell,46,1664.92,37.0,31,11,"Roy L. Patrick Gymnasium (Burlington, VT)",4,0.67,526.18
Chris King,19,1652.68,91.82,15,8,"Dunn-Oliver Acadome (Montgomery, AL)",2,0.79,586.61
Michael Scyphers,23,1631.14,74.14,14,3,"The Thunderdome (Isla Vista, CA)",3,0.61,630.03
Kevin Driver,19,1592.13,88.45,12,5,"Show Me Center (Cape Girardeau, MO)",3,0.63,1211.8
Bill Vinovich,27,1589.86,61.15,19,6,"Acrisure Arena (Palm Desert, CA)",3,0.7,854.6
Brad Ferrie,12,1573.29,143.03,10,6,"Ford Center (Evansville, IN)",2,0.83,779.92
Henry Howard,10,1544.21,171.58,5,2,"McDermott Center (San Antonio, TX)",3,0.5,1280.74
Courtney Holmes,14,1532.59,117.89,12,5,"War Memorial at the Sobrato Center (San Francisco, CA)",2,0.86,841.69
Bill Covington,17,1523.21,95.2,13,8,"LJVM Coliseum (Winston-Salem, NC)",2,0.76,544.89
Jake Hirz,15,1486.68,106.19,11,7,"Bank of Colorado Arena (Greeley, CO)",2,0.73,904.41
Billy McClatchy,8,1466.36,209.48,7,5,"Memorial Athletic and Convocation Center (Kent, OH)",2,0.88,505.44
John Barley,21,1460.78,73.04,15,8,"The Palestra (Philadelphia, PA)",3,0.71,281.5
K.B. Burdett,6,1456.19,291.24,6,4,"E.A. Diddle Arena (Bowling Green, KY)",1,1.0,785.51
Bobby Bissant,6,1450.74,290.15,5,5,"Cam Henderson Center (Huntington, WV)",2,0.83,952.54
Patrick Harwood,13,1446.6,120.55,10,7,"Reitz Arena (Baltimore, MD)",2,0.77,377.3
Tommy Nunez,15,1445.05,103.22,7,6,"Clune Arena (U.S. Air Force Academy, CO)",4,0.47,768.3
Scott Bennett,26,1435.64,57.43,20,7,"Kaplan Arena (Williamsburg, VA)",3,0.77,391.93
Rhett Lamoreaux,10,1431.95,159.11,5,5,"Betty Engelstad Sioux Center (Grand Forks, ND)",2,0.5,626.45
Casey McClellan,30,1408.13,48.56,23,9,"Viking Pavilion (Portland, OR)",4,0.77,830.7
Greg Moyer,36,1405.55,40.16,27,10,"Newman Arena (Ithaca, NY)",2,0.75,556.16
Grant Tyler,10,1401.87,155.76,8,4,"Thomas Assembly Center (Ruston, LA)",2,0.8,479.55
Justin McKie,19,1397.05,77.61,19,8,"EagleBank Arena (Fairfax, VA)",1,1.0,485.78
Steven Perry Jr.,28,1387.22,51.38,21,9,"Knott Arena (Emmitsburg, MD)",3,0.75,458.23
David Powell,34,1363.78,41.33,25,10,"M&T Bank Arena (Hamden, CT)",3,0.74,602.15
Chris Fuller,20,1348.85,70.99,14,9,"Ford Center (Evansville, IN)",4,0.7,598.31
Jose A Carrion,3,1348.13,674.07,3,3,"Atlantic Union Bank Center (Harrisonburg, VA)",1,1.0,1004.74
"John Cahill, Jr.",16,1347.26,89.82,14,8,"Events Center (Vestal, NY)",2,0.88,502.05
Lamont Simpson,15,1344.53,96.04,8,2,"Read Fieldhouse/University Arena (Kalamazoo, MI)",4,0.53,145.3
JW Lucas,35,1285.62,37.81,19,5,"Trask Coliseum (Wilmington, NC)",4,0.54,329.9
Kelly Ely,3,1282.83,641.42,3,2,"College Park Center (Arlington, TX)",1,1.0,1130.06
Sean Campbell,23,1276.71,58.03,18,8,"Kirby Sports Center (Easton, PA)",3,0.78,327.9
Will Flowers,35,1260.43,37.07,20,11,"Lavietes Pavilion (Boston, MA)",4,0.57,567.75
Jordan Arnold,13,1258.37,104.86,9,7,"Ramsey Center (Cullowhee, NC)",4,0.69,357.15
Klajdi Mulla,5,1248.64,312.16,4,4,"Murphy Center (Murfreesboro, TN)",2,0.8,610.65
Zelton Sneed,3,1235.85,617.92,3,3,"Convocation Center (San Antonio, TX)",1,1.0,983.03
Lionel Butler,14,1231.35,94.72,11,8,"DeGol Arena (Loretto, PA)",2,0.79,256.54
Jawaan Williams,25,1225.44,51.06,17,7,"MVP Arena (Albany, NY)",2,0.68,809.7
Joshua White,8,1221.17,174.45,8,5,"Cam Henderson Center (Huntington, WV)",1,1.0,342.38
Danny Chance,22,1212.59,57.74,10,2,"David R. Stopher Gymnasium (Thibodaux, LA)",5,0.45,258.52
Thomas Northcutt,12,1210.77,110.07,8,5,"William R. Johnson Coliseum (Nacogdoches, TX)",2,0.67,388.06
Devorn Kinsey,12,1202.5,109.32,9,6,"Joseph G. Echols Memorial Hall (Norfolk, VA)",3,0.75,458.23
Nick Meyer,12,1181.55,107.41,11,9,"KSU Convocation Center (Kennesaw, GA)",2,0.92,600.13
Raymond Lightfoot,16,1178.81,78.59,15,9,"Williams Arena at Minges (Greenville, NC)",2,0.94,398.86
Derek Schulte,26,1173.49,46.94,13,7,"McDermott Center (San Antonio, TX)",3,0.5,631.85
Chad Shepherd,26,1172.14,46.89,23,8,"America First Event Center (Cedar City, UT)",2,0.88,931.28
William Covington,7,1164.89,194.15,7,6,"The Sandy and John Black Pavilion at Ole Miss (Oxford, MS)",1,1.0,758.01
Tim Marion,10,1148.17,127.57,7,6,"UPMC Events Center (Carnot-Moon, PA)",3,0.7,443.01
Christopher Balunek,16,1131.71,75.45,11,3,"Legacy Center (Lake Charles, LA)",3,0.69,542.14
Zelton Steed,9,1103.09,137.89,8,5,"Ramsey Center (Cullowhee, NC)",2,0.89,501.21
Clyde Owens,7,1096.89,182.81,6,5,"Fleming Gymnasium (Greensboro, NC)",2,0.86,698.02
Grady Dale,7,1092.33,182.05,6,3,"William R. Johnson Coliseum (Nacogdoches, TX)",2,0.86,410.09
Pat Evans,5,1087.36,271.84,3,3,"Barclays Center (Brooklyn, NY)",2,0.6,800.3
Mick Fieldbinder,9,1079.58,134.95,5,3,"Eblen Center (Cookeville, TN)",4,0.56,1079.58
Bill Humes,7,1039.79,173.3,7,6,"Ramsey Center (Cullowhee, NC)",1,1.0,355.87
Todd Van Sossan,2,1037.04,1037.04,2,2,"Worthen Arena (Muncie, IN)",1,1.0,1037.04
Riley McGraw,16,1036.17,69.08,13,7,"Ted Grant Court (Syracuse, NY)",2,0.81,294.47
Michael Kashirsky,14,1015.63,78.13,12,8,"The Thunderdome (Isla Vista, CA)",2,0.86,1015.63
Ryan Corbett,36,1010.29,28.87,25,8,"Roy L. Patrick Gymnasium (Burlington, VT)",4,0.69,373.4
Jeff Malham,8,1004.55,143.51,7,6,"Enterprise Center (St. Louis, MO)",2,0.88,747.11
Bryan Washer,34,998.4,30.25,18,8,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",4,0.53,402.3
Martin Spencer,9,957.89,119.74,7,6,"UPMC Events Center (Carnot-Moon, PA)",2,0.78,505.44
Anthony Burns,2,957.26,957.26,2,2,"Health & Physical Education Arena (Houston, TX)",1,1.0,957.26
Kelly Davis,10,943.58,104.84,6,5,"Farris Center (Conway, AR)",4,0.6,384.17
Chandler Burton,15,930.4,66.46,11,4,"McAlister Field House (Charleston, SC)",2,0.73,306.06
Evan Berg,17,924.79,57.8,14,5,"McKenzie Arena (Chattanooga, TN)",3,0.82,263.05
Nicholaus Heater,13,915.29,76.27,10,7,"Freedom Hall (Johnson City, TN)",2,0.77,400.14
Trenton Chaney,6,896.36,179.27,5,2,"McDermott Center (San Antonio, TX)",2,0.83,356.48
Frank Harvey,3,894.77,447.39,2,2,"Walter Pyramid (Long Beach, CA)",2,0.67,894.77
Randell Wells,3,889.27,444.63,2,2,"Ocean Center (Daytona Beach, FL)",2,0.67,889.27
Jeffrey Adams,13,889.13,74.09,11,8,"Memorial Gymnasium (Orono, ME)",2,0.85,437.9
Jailaan Kinsey,10,877.68,97.52,10,5,"Gallagher Center (Niagara University, NY)",1,1.0,359.09
Chris Slattery,20,876.8,46.15,12,7,"David S. Mack Sports and Exhibition Complex (Hempstead, NY)",4,0.6,319.67
Tommy Deneen,31,868.51,28.95,19,8,"Costello Athletic Center (Lowell, MA)",5,0.61,193.13
Nick Atwood,9,858.46,107.31,8,2,"William R. Johnson Coliseum (Nacogdoches, TX)",2,0.89,314.0
Wesley Ford,6,857.81,171.56,5,2,"Moody Coliseum (Abilene, TX)",2,0.83,626.35
Andrew Steratore,4,845.89,281.96,4,4,"First Bank & Trust Arena (Brookings, SD)",1,1.0,845.89
Wacey Lym,9,842.3,105.29,8,6,"CU Events Center (Boulder, CO)",2,0.89,421.15
Jeremy Mosier,30,833.39,28.74,21,6,"Freedom Hall (Johnson City, TN)",4,0.7,341.78
John Caputo,6,827.41,165.48,4,2,"UPMC Events Center (Carnot-Moon, PA)",2,0.67,313.94
Drew Larson,5,816.92,204.23,5,4,"Pan American Center (Las Cruces, NM)",1,1.0,421.16
Bruce Rothwell,20,810.2,42.64,10,5,"Case Gym (Boston, MA)",3,0.5,252.61
Bobby Bissant III,9,794.76,99.34,7,4,"Prather Coliseum (Natchitoches, LA)",2,0.78,420.36
Earl Lennie,11,785.54,78.55,4,1,"University Center (Hammond, LA)",4,0.36,216.0
Todd VonSossan,7,780.94,130.16,3,3,"Denny Sanford PREMIER Center (Sioux Falls, SD)",3,0.43,780.94
Gerald Williams,12,777.34,70.67,8,2,"William J. Nicks Building (Prairie View, TX)",4,0.67,261.94
Owen Farist,8,757.32,108.19,6,3,"Pete Hanna Center (Homewood, AL)",3,0.75,300.1
Arthur Vaulk,15,747.1,53.36,9,6,"CB&S Bank Arena at Flowers Hall (Florence, AL)",5,0.6,510.16
Eric Kronebusch,20,746.85,39.31,11,3,"Sharp Gymnasium (Houston, TX)",4,0.55,384.95
Ray Ames,28,734.16,27.19,16,7,"Dahlberg Arena (Missoula, MT)",4,0.57,734.16
Byron Evans,15,723.12,51.65,8,4,"Dunn-Oliver Acadome (Montgomery, AL)",4,0.53,320.8
Josh Haug,9,719.42,89.93,3,2,"William R. Johnson Coliseum (Nacogdoches, TX)",5,0.33,134.13
Earl Watson,3,709.74,354.87,3,3,"Colonial Hall at The Greenbrier (White Sulphur Springs, WV)",1,1.0,709.74
Kurt Tackett,8,698.19,99.74,7,3,"Curry Arena (Charlotte, NC)",2,0.88,189.83
Ernest Hamilton III,16,691.99,46.13,13,6,"Ross E. Templeton Center (Clinton, SC)",3,0.81,521.05
Ernest Hamilton,8,681.7,97.39,7,6,"Freedom Hall (Johnson City, TN)",2,0.88,341.26
Damon Allen,4,671.57,223.86,4,4,"Hytche Center (Princess Anne, MD)",1,1.0,503.99
Jarrett Howell,12,671.31,61.03,8,3,"Field House (Commerce, TX)",3,0.67,244.8
"K.B. Burdett, Jr.",5,669.1,167.28,3,3,"Tudor Fieldhouse (Houston, TX)",2,0.6,669.1
Jarrett Robinson,14,652.69,50.21,11,6,"Hill Field House (Baltimore, MD)",2,0.79,237.59
Nelson Santiago,10,651.09,72.34,4,2,"Edmunds Center (DeLand, FL)",4,0.4,651.09
Brad Yorkovich,6,637.95,127.59,4,4,"KSU Convocation Center (Kennesaw, GA)",2,0.67,637.95
Brandon Kamil,18,634.35,37.31,12,5,"Spiro Sports Center Athletic Complex (Staten Island, NY)",2,0.67,172.92
John Cahill Jr,5,622.7,155.68,5,4,"Belk Arena (Davidson, NC)",1,1.0,622.7
Julian Legido,11,619.61,61.96,6,2,"Alico Arena (Fort Myers, FL)",3,0.55,527.5
Jafar Kinsey,8,613.98,87.71,8,5,"Reilly Center (St. Bonaventure, NY)",1,1.0,216.79
Ross Cullins,13,605.6,50.47,9,2,"Sharp Gymnasium (Houston, TX)",3,0.69,244.8
Kolbert Galeano,8,599.63,85.66,6,4,"Kirby Sports Center (Easton, PA)",2,0.75,359.09
Rob Riley Jr.,6,588.43,117.69,6,5,"Alumni Hall (Annapolis, MD)",1,1.0,588.43
Marvin Harris Jr.,9,573.15,71.64,8,6,"University Center (Macon, GA)",2,0.89,318.45
John St. Claire,2,572.71,572.71,2,2,"Lee's Family Forum (Henderson, NV)",1,1.0,572.71
Kendell Ridley,12,571.7,51.97,12,9,"Kaplan Arena (Williamsburg, VA)",1,1.0,409.88
Beau Melancon,4,569.77,189.92,4,2,"Prather Coliseum (Natchitoches, LA)",1,1.0,447.57
Damien Richard,22,569.03,27.1,14,7,"David R. Stopher Gymnasium (Thibodaux, LA)",5,0.64,448.33
Kip Kissinger,3,568.79,284.39,3,3,"LionTree Arena (La Jolla, CA)",1,1.0,568.79
Garrett Nestor,11,561.7,56.17,9,4,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.82,229.58
Andy Acosta,2,531.94,531.94,2,2,"Rolle Activity Center (Flagstaff, AZ)",1,1.0,531.94
Tommy Morrisey,3,516.22,258.11,3,2,"JMA Wireless Dome (Syracuse, NY)",1,1.0,516.22
Edward Corbett Jr.,22,514.78,24.51,17,6,"Christl Arena (West Point, NY)",3,0.77,166.08
Carl Gray,4,506.13,168.71,4,2,"Prather Coliseum (Natchitoches, LA)",1,1.0,374.4
John Atanassov,12,505.98,46.0,5,3,"UNF Arena (Jacksonville, FL)",5,0.42,505.98
Rob Rourke,2,493.26,493.26,2,2,"Tudor Fieldhouse (Houston, TX)",1,1.0,493.26
Johnny Wilkins,9,490.61,61.33,6,2,"William R. Johnson Coliseum (Nacogdoches, TX)",3,0.67,356.48
Rob Riley Sr.,3,490.13,245.07,3,3,"Kohl Center (Madison, WI)",1,1.0,276.32
CJ Middlebrooks,11,486.07,48.61,8,4,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.73,274.62
K.B. Burdett Jr,5,484.35,121.09,3,3,"Humphrey Coliseum (Starkville, MS)",2,0.6,484.35
Talmadge Scott,10,480.32,53.37,7,4,"Prather Coliseum (Natchitoches, LA)",2,0.7,264.32
Jim Googas,15,477.13,34.08,14,8,"Ocean Center (Daytona Beach, FL)",2,0.93,251.58
Doug Sturdivan,20,476.52,25.08,17,6,"The Nest (Sacramento, CA)",2,0.85,278.37
Martin Cichocki,24,470.37,20.45,19,6,"Viking Pavilion (Portland, OR)",2,0.79,470.37
Jason Albanza,3,465.74,232.87,3,3,"Gill Coliseum (Corvallis, OR)",1,1.0,465.74
Steven Chiara,9,458.04,57.26,6,2,"Prather Coliseum (Natchitoches, LA)",2,0.67,458.04
Quentin Jackson,6,449.07,89.81,5,3,"Harrison HPER Complex (Itta Bena, MS)",2,0.83,449.07
Nick Nadeau,19,447.86,24.88,14,7,"UNF Arena (Jacksonville, FL)",3,0.74,336.54
Troy Mathis,7,443.61,73.94,6,4,"Dunn-Oliver Acadome (Montgomery, AL)",2,0.86,167.56
Matt Oblas,13,436.08,36.34,9,6,"Kaplan Arena (Williamsburg, VA)",3,0.69,184.83
JP Primm,13,433.84,36.15,9,5,"First Community Arena (Edwardsville, IL)",3,0.69,263.05
"KB Burdett, Jr.",4,428.2,142.73,2,2,"Food City Center (Knoxville, TN)",2,0.5,428.2
Raymond Downs,10,425.6,47.29,9,5,"Bogota Savings Bank Center (Hackensack, NJ)",2,0.9,244.64
Doug Simons,5,422.23,105.56,4,4,"Drake Knapp Center (Des Moines, IA)",2,0.8,422.23
John Garrett,7,419.24,69.87,7,4,"Ramsey Center (Cullowhee, NC)",1,1.0,247.61
Michael Thornton,7,410.86,68.48,4,2,"Dugan Wellness Center (Corpus Christi, TX)",3,0.57,139.56
Anthony Franklin,25,404.98,16.87,14,6,"TD Arena (Charleston, SC)",3,0.56,283.06
Adam Fiore,2,404.12,404.12,2,2,"Silvio O. Conte Forum (Boston, MA)",1,1.0,404.12
Landen Cammack,11,398.86,39.89,10,7,"McAlister Field House (Charleston, SC)",2,0.91,398.86
Bart Lennox,3,396.54,198.27,3,3,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",1,1.0,396.54
David Howard,16,383.76,25.58,8,1,"UTRGV Fieldhouse (Edinburg, TX)",7,0.5,196.11
Art Vaulk,7,383.54,63.92,4,4,"Bon Secours Wellness Arena (Greenville, SC)",3,0.57,165.68
Matt Lavigne,8,383.31,54.76,6,5,"VisitLethbridge.com Arena (Lethbridge, Canada)",3,0.75,383.31
Andrew Murray,4,375.94,125.31,4,3,"The Jungle (Indianapolis, IN)",1,1.0,216.69
J.W. Lucas,3,373.76,186.88,3,3,"The Stuart C. Siegel Center (Richmond, VA)",1,1.0,373.76
Sean Lineberger,24,371.1,16.13,15,4,"Qubein Arena (High Point, NC)",4,0.62,191.12
Connor Penn,24,370.75,16.12,15,8,"G.B. Hodge Center (Spartanburg, SC)",4,0.62,230.41
Keith Fogleman,19,367.17,20.4,14,5,"Ellis Corbett Sports Center (Greensboro, NC)",3,0.74,188.3
Javed Trotman,13,363.46,30.29,11,5,"Cotterell Court (Hamilton, NY)",2,0.85,205.94
Davis Maxwell,3,361.06,180.53,3,2,"Jerry Richardson Indoor Stadium (Spartanburg, SC)",1,1.0,297.04
Jesse Joseph,13,357.53,29.79,6,3,"Knights Hall (Louisville, KY)",3,0.46,178.76
Martin Cichoki,3,356.21,178.11,2,1,"Bren Events Center (Irvine, CA)",2,0.67,356.21
Jason Stallworth,13,353.88,29.49,12,7,"DeGol Arena (Loretto, PA)",2,0.92,180.96
Grant Todey,7,351.13,58.52,7,4,"Lenovo Center (Raleigh, NC)",1,1.0,351.13
Larry Hamilton,7,350.59,58.43,5,5,"Colonial Hall at The Greenbrier (White Sulphur Springs, WV)",2,0.71,216.72
Keith Bennett,11,343.89,34.39,8,5,"McDougald-McLendon Arena (Durham, NC)",2,0.73,172.95
Marcus Hawkins,10,337.89,37.54,8,4,"Fant-Ewing Coliseum (Monroe, LA)",2,0.8,337.89
Sparky Hamilton,12,323.11,29.37,6,4,"Jack Stephens Center (Little Rock, AR)",4,0.5,225.06
RB Clyburn,5,322.19,80.55,3,3,"The Reef at FSCJ (Jacksonville, FL)",2,0.6,322.19
